Ward number ,Ward Name,Number of Connections,Consumption in ML,avg_household_size,income_level,water_efficiency
3901,Synthetic Ward 3703,793,430.33,2,Low,0.53
3902,Synthetic Ward 3704,5076,25.95,4,Middle,0.81
3903,Synthetic Ward 3705,3787,248.93,3,High,0.59
3904,Synthetic Ward 3706,8009,295.5,2,High,0.78
3905,Synthetic Ward 3707,9731,267.7,3,Low,0.87
3906,Synthetic Ward 3708,4131,81.62,6,Middle,0.89
3907,Synthetic Ward 3709,4587,143.03,4,Low,0.65
3908,Synthetic Ward 3710,3299,389.96,4,Low,0.76
3909,Synthetic Ward 3711,4498,189.67,6,Middle,0.81
3910,Synthetic Ward 3712,2639,378.38,4,Middle,0.91
3911,Synthetic Ward 3713,2271,52.24,5,Low,0.88
3912,Synthetic Ward 3714,7542,318.83,3,High,0.99
3913,Synthetic Ward 3715,6622,463.14,2,Low,0.5
3914,Synthetic Ward 3716,7295,405.91,6,High,0.72
3915,Synthetic Ward 3717,2347,301.19,5,Low,0.63
3916,Synthetic Ward 3718,8793,220.14,2,Middle,0.56
3917,Synthetic Ward 3719,7246,378.57,2,High,0.96
3918,Synthetic Ward 3720,1960,249.18,6,Middle,1.0
3919,Synthetic Ward 3721,5657,449.96,5,Middle,0.59
3920,Synthetic Ward 3722,6458,311.36,2,Middle,0.52
3921,Synthetic Ward 3723,8520,381.7,2,Middle,0.64
3922,Synthetic Ward 3724,9360,397.41,5,Middle,0.92
3923,Synthetic Ward 3725,5707,496.3,4,Low,0.65
3924,Synthetic Ward 3726,5782,449.71,2,High,0.53
3925,Synthetic Ward 3727,8332,474.57,3,Low,0.53
3926,Synthetic Ward 3728,1936,136.04,5,Low,0.71
3927,Synthetic Ward 3729,4694,169.29,2,Low,0.97
3928,Synthetic Ward 3730,5254,29.88,6,Middle,0.64
3929,Synthetic Ward 3731,4193,428.19,3,Low,0.71
3930,Synthetic Ward 3732,2330,391.81,2,High,0.55
3931,Synthetic Ward 3733,6596,286.74,3,Low,0.75
3932,Synthetic Ward 3734,3094,256.21,3,Middle,0.85
3933,Synthetic Ward 3735,254,257.67,4,High,0.64
3934,Synthetic Ward 3736,5170,240.2,3,High,0.65
3935,Synthetic Ward 3737,4094,312.31,4,High,0.92
3936,Synthetic Ward 3738,7289,234.17,5,High,0.51
3937,Synthetic Ward 3739,3046,135.53,4,Low,0.82
3938,Synthetic Ward 3740,4052,23.46,6,Middle,0.7
3939,Synthetic Ward 3741,4672,305.42,2,High,0.65
3940,Synthetic Ward 3742,1095,268.37,5,High,0.83
3941,Synthetic Ward 3743,7972,102.27,5,Middle,0.92
3942,Synthetic Ward 3744,8060,329.35,6,Low,0.78
3943,Synthetic Ward 3745,6774,240.28,4,High,0.52
3944,Synthetic Ward 3746,3091,126.46,2,Low,0.73
3945,Synthetic Ward 3747,2904,260.8,4,Low,0.73
3946,Synthetic Ward 3748,1269,273.35,3,Low,0.77
3947,Synthetic Ward 3749,9669,121.51,4,Low,0.84
3948,Synthetic Ward 3750,1426,57.75,5,High,0.51
3949,Synthetic Ward 3751,6600,274.04,2,High,0.75
3950,Synthetic Ward 3752,1728,349.47,4,Low,0.79
3951,Synthetic Ward 3753,3124,221.6,2,Low,0.67
3952,Synthetic Ward 3754,4635,245.87,2,Middle,0.83
3953,Synthetic Ward 3755,4060,277.0,3,Middle,0.61
3954,Synthetic Ward 3756,3578,137.3,3,Middle,0.66
3955,Synthetic Ward 3757,9226,477.83,5,High,0.98
3956,Synthetic Ward 3758,7943,160.97,6,Middle,0.67
3957,Synthetic Ward 3759,7307,123.36,2,High,0.67
3958,Synthetic Ward 3760,8763,357.97,6,High,0.8
3959,Synthetic Ward 3761,2524,482.45,5,High,0.99
3960,Synthetic Ward 3762,1951,444.44,2,High,0.99
3961,Synthetic Ward 3763,179,88.41,2,Middle,0.79
3962,Synthetic Ward 3764,2567,449.36,6,Low,0.5
3963,Synthetic Ward 3765,3231,180.35,4,Low,0.95
3964,Synthetic Ward 3766,8545,271.8,3,Low,0.79
3965,Synthetic Ward 3767,2165,379.58,4,Middle,0.68
3966,Synthetic Ward 3768,9084,466.61,6,Low,0.91
3967,Synthetic Ward 3769,2642,294.59,3,Middle,0.7
3968,Synthetic Ward 3770,752,142.01,4,Middle,0.52
3969,Synthetic Ward 3771,9531,486.85,3,Middle,0.91
3970,Synthetic Ward 3772,3835,97.03,2,Low,0.77
3971,Synthetic Ward 3773,4397,389.18,4,Low,0.67
3972,Synthetic Ward 3774,3717,281.12,3,Low,0.63
3973,Synthetic Ward 3775,6342,494.71,3,High,0.8
3974,Synthetic Ward 3776,7054,124.18,3,Middle,0.6
3975,Synthetic Ward 3777,3204,85.49,4,High,0.66
3976,Synthetic Ward 3778,3095,106.61,5,Middle,0.82
3977,Synthetic Ward 3779,2328,417.59,4,Low,0.94
3978,Synthetic Ward 3780,4250,115.96,6,Middle,0.77
3979,Synthetic Ward 3781,9125,266.56,4,Middle,0.88
3980,Synthetic Ward 3782,3946,463.65,3,High,0.88
3981,Synthetic Ward 3783,8865,273.17,2,Middle,0.83
3982,Synthetic Ward 3784,3436,122.41,4,Low,0.62
3983,Synthetic Ward 3785,5732,61.1,4,Middle,0.93
3984,Synthetic Ward 3786,4810,217.36,3,Middle,0.72
3985,Synthetic Ward 3787,4292,254.14,2,Middle,0.52
3986,Synthetic Ward 3788,8339,270.58,2,High,0.62
3987,Synthetic Ward 3789,5886,10.84,6,Middle,0.88
3988,Synthetic Ward 3790,921,138.96,4,Middle,0.53
3989,Synthetic Ward 3791,4021,317.03,2,High,0.57
3990,Synthetic Ward 3792,3029,133.48,2,High,0.85
3991,Synthetic Ward 3793,2115,314.63,5,High,0.95
3992,Synthetic Ward 3794,1958,150.21,5,High,0.82
3993,Synthetic Ward 3795,9907,96.83,2,Low,0.61
3994,Synthetic Ward 3796,6910,240.67,6,Low,0.53
3995,Synthetic Ward 3797,6948,247.24,2,Middle,0.81
3996,Synthetic Ward 3798,9251,384.68,3,Low,0.52
3997,Synthetic Ward 3799,4732,141.07,4,Middle,0.81
3998,Synthetic Ward 3800,6483,161.52,6,Low,0.61
3999,Synthetic Ward 3801,928,288.82,3,High,0.95
4000,Synthetic Ward 3802,6755,406.28,6,High,0.74
4001,Synthetic Ward 3803,3844,271.89,3,Low,0.61
4002,Synthetic Ward 3804,6311,72.98,4,Low,0.93
4003,Synthetic Ward 3805,5012,86.81,4,Middle,0.63
4004,Synthetic Ward 3806,7890,222.39,5,Middle,0.65
4005,Synthetic Ward 3807,817,165.58,3,Middle,0.92
4006,Synthetic Ward 3808,4568,75.39,5,High,0.65
4007,Synthetic Ward 3809,1324,365.86,3,High,0.71
4008,Synthetic Ward 3810,6840,254.74,5,High,0.67
4009,Synthetic Ward 3811,8093,401.93,4,High,0.56
4010,Synthetic Ward 3812,418,163.22,6,Middle,0.52
4011,Synthetic Ward 3813,4912,381.16,5,High,0.86
4012,Synthetic Ward 3814,5096,251.8,3,High,0.82
4013,Synthetic Ward 3815,2384,387.66,3,High,0.64
4014,Synthetic Ward 3816,2476,185.46,4,High,0.65
4015,Synthetic Ward 3817,3809,31.0,3,Low,0.97
4016,Synthetic Ward 3818,4509,239.71,2,Middle,0.99
4017,Synthetic Ward 3819,8208,339.22,6,Middle,0.74
4018,Synthetic Ward 3820,8759,233.46,5,High,0.9
4019,Synthetic Ward 3821,5084,30.58,6,Low,0.87
4020,Synthetic Ward 3822,9468,456.94,4,Middle,0.65
4021,Synthetic Ward 3823,220,361.87,5,Middle,0.53
4022,Synthetic Ward 3824,3139,128.7,5,High,0.57
4023,Synthetic Ward 3825,1375,315.86,2,High,0.92
4024,Synthetic Ward 3826,7512,42.38,4,Middle,0.87
4025,Synthetic Ward 3827,6142,49.87,3,Middle,0.83
4026,Synthetic Ward 3828,234,425.83,2,Low,0.57
4027,Synthetic Ward 3829,4442,196.63,2,Middle,0.82
4028,Synthetic Ward 3830,4095,391.9,6,Middle,0.89
4029,Synthetic Ward 3831,3782,78.61,6,High,0.93
4030,Synthetic Ward 3832,3048,273.42,6,Middle,0.51
4031,Synthetic Ward 3833,3359,358.9,2,High,0.84
4032,Synthetic Ward 3834,9788,442.44,3,Middle,0.51
4033,Synthetic Ward 3835,9395,432.09,5,Middle,0.85
4034,Synthetic Ward 3836,3648,432.16,6,Middle,0.82
4035,Synthetic Ward 3837,2680,175.37,3,Low,0.57
4036,Synthetic Ward 3838,4718,220.79,4,High,0.88
4037,Synthetic Ward 3839,5243,353.14,6,Low,0.53
4038,Synthetic Ward 3840,5885,112.04,5,Middle,0.91
4039,Synthetic Ward 3841,3141,285.97,4,Low,0.63
4040,Synthetic Ward 3842,1465,432.31,4,High,0.84
4041,Synthetic Ward 3843,7505,256.29,5,Middle,0.96
4042,Synthetic Ward 3844,193,334.93,6,Low,0.67
4043,Synthetic Ward 3845,753,478.64,2,Low,0.75
4044,Synthetic Ward 3846,7946,464.45,5,High,0.73
4045,Synthetic Ward 3847,4745,314.57,5,Low,0.58
4046,Synthetic Ward 3848,2023,452.66,5,High,0.8
4047,Synthetic Ward 3849,2420,112.5,4,Middle,0.87
4048,Synthetic Ward 3850,2276,320.3,3,Middle,0.96
4049,Synthetic Ward 3851,4886,390.47,2,Low,0.93
4050,Synthetic Ward 3852,3558,297.31,6,Middle,0.76
4051,Synthetic Ward 3853,1077,273.94,6,Middle,0.86
4052,Synthetic Ward 3854,6380,88.58,3,Low,0.9
4053,Synthetic Ward 3855,9762,81.03,5,Middle,0.75
4054,Synthetic Ward 3856,3815,340.33,2,Low,0.56
4055,Synthetic Ward 3857,5536,14.67,6,High,0.72
4056,Synthetic Ward 3858,6065,231.11,6,High,0.92
4057,Synthetic Ward 3859,1705,270.83,5,High,0.8
4058,Synthetic Ward 3860,7497,328.59,3,Low,0.86
4059,Synthetic Ward 3861,2130,315.35,2,Low,0.59
4060,Synthetic Ward 3862,5781,426.71,3,Middle,0.98
4061,Synthetic Ward 3863,5032,294.5,3,Middle,0.7
4062,Synthetic Ward 3864,2900,386.76,2,Middle,0.83
4063,Synthetic Ward 3865,8739,418.63,2,Middle,0.51
4064,Synthetic Ward 3866,1350,223.81,6,Middle,0.56
4065,Synthetic Ward 3867,5819,478.84,6,Low,0.89
4066,Synthetic Ward 3868,2270,246.4,2,Low,0.98
4067,Synthetic Ward 3869,3217,16.98,4,High,0.66
4068,Synthetic Ward 3870,5394,394.57,6,High,0.52
4069,Synthetic Ward 3871,7758,218.85,4,High,0.68
4070,Synthetic Ward 3872,5690,488.94,2,High,0.51
4071,Synthetic Ward 3873,5049,15.94,6,Low,0.6
4072,Synthetic Ward 3874,8525,95.97,3,Low,0.88
4073,Synthetic Ward 3875,9717,328.22,2,Low,0.97
4074,Synthetic Ward 3876,3054,219.13,5,Middle,0.54
4075,Synthetic Ward 3877,4260,46.1,4,Middle,0.78
4076,Synthetic Ward 3878,7941,152.18,2,High,0.63
4077,Synthetic Ward 3879,1364,497.22,2,Middle,0.57
4078,Synthetic Ward 3880,5874,147.64,6,Low,0.61
4079,Synthetic Ward 3881,2181,10.13,6,High,0.79
4080,Synthetic Ward 3882,3759,67.94,6,High,0.53
4081,Synthetic Ward 3883,9692,69.8,5,Middle,0.72
4082,Synthetic Ward 3884,908,80.37,6,High,0.57
4083,Synthetic Ward 3885,9807,339.88,2,Middle,0.64
4084,Synthetic Ward 3886,7252,289.93,6,Middle,0.6
4085,Synthetic Ward 3887,3686,87.81,3,High,0.94
4086,Synthetic Ward 3888,5553,405.31,6,Middle,0.85
4087,Synthetic Ward 3889,6200,271.29,5,Middle,0.93
4088,Synthetic Ward 3890,3875,211.14,3,Middle,0.69
4089,Synthetic Ward 3891,5906,171.73,2,Middle,0.66
4090,Synthetic Ward 3892,6378,176.82,2,High,0.69
4091,Synthetic Ward 3893,8969,56.68,4,Low,0.51
4092,Synthetic Ward 3894,7420,111.95,3,Low,0.86
4093,Synthetic Ward 3895,9850,454.38,4,Middle,0.67
4094,Synthetic Ward 3896,4756,338.07,3,Middle,0.66
4095,Synthetic Ward 3897,6051,165.13,3,Middle,0.8
4096,Synthetic Ward 3898,3623,55.04,5,Low,0.72
4097,Synthetic Ward 3899,7744,272.44,4,Middle,0.99
4098,Synthetic Ward 3900,8750,444.99,5,High,0.68
4099,Synthetic Ward 3901,9223,285.01,3,High,0.81
4100,Synthetic Ward 3902,2863,352.63,2,High,0.66
4101,Synthetic Ward 3903,9805,237.99,3,Low,1.0
4102,Synthetic Ward 3904,2229,271.61,5,Middle,0.72
4103,Synthetic Ward 3905,8183,337.01,4,Middle,0.82
4104,Synthetic Ward 3906,1785,417.46,4,Middle,0.56
4105,Synthetic Ward 3907,3170,449.32,5,Low,0.87
4106,Synthetic Ward 3908,2548,228.11,4,Low,0.63
4107,Synthetic Ward 3909,7428,197.65,6,Low,0.72
4108,Synthetic Ward 3910,2909,244.27,2,Low,0.94
4109,Synthetic Ward 3911,9636,470.34,2,High,0.99
4110,Synthetic Ward 3912,2076,304.66,2,Low,0.71
4111,Synthetic Ward 3913,9212,293.34,4,Low,0.92
4112,Synthetic Ward 3914,3113,172.92,4,Low,0.53
4113,Synthetic Ward 3915,1470,412.51,3,Middle,0.92
4114,Synthetic Ward 3916,511,491.56,3,Middle,0.81
4115,Synthetic Ward 3917,7306,202.93,2,Middle,0.74
4116,Synthetic Ward 3918,9041,152.25,6,High,0.94
4117,Synthetic Ward 3919,8215,158.91,3,High,0.92
4118,Synthetic Ward 3920,3934,329.05,3,Low,0.65
4119,Synthetic Ward 3921,9119,73.57,4,Middle,0.9
4120,Synthetic Ward 3922,2953,212.3,6,High,0.55
4121,Synthetic Ward 3923,8041,42.38,2,Middle,0.91
4122,Synthetic Ward 3924,5567,476.61,3,High,0.84
4123,Synthetic Ward 3925,2369,85.31,6,High,0.54
4124,Synthetic Ward 3926,4013,225.49,6,Low,0.84
4125,Synthetic Ward 3927,4169,350.49,2,Low,0.79
4126,Synthetic Ward 3928,6653,410.69,6,High,0.8
4127,Synthetic Ward 3929,1132,21.26,6,Low,0.65
4128,Synthetic Ward 3930,100,121.08,6,High,0.63
4129,Synthetic Ward 3931,9132,313.67,3,High,0.88
4130,Synthetic Ward 3932,1737,173.03,2,Middle,0.63
4131,Synthetic Ward 3933,3974,68.68,6,Low,0.72
4132,Synthetic Ward 3934,5902,173.56,6,Low,0.85
4133,Synthetic Ward 3935,3563,156.81,3,Low,0.54
4134,Synthetic Ward 3936,9284,449.68,2,Middle,0.8
4135,Synthetic Ward 3937,5930,447.1,4,Middle,0.79
4136,Synthetic Ward 3938,8806,103.97,3,Middle,0.84
4137,Synthetic Ward 3939,8787,178.69,2,Low,0.68
4138,Synthetic Ward 3940,7102,97.13,6,Low,0.72
4139,Synthetic Ward 3941,5556,32.7,2,Low,0.66
4140,Synthetic Ward 3942,130,460.82,2,Middle,0.9
4141,Synthetic Ward 3943,9398,313.9,2,Middle,0.57
4142,Synthetic Ward 3944,7722,157.62,4,High,0.98
4143,Synthetic Ward 3945,7651,309.05,2,Middle,0.82
4144,Synthetic Ward 3946,5092,228.54,4,High,0.94
4145,Synthetic Ward 3947,9719,262.67,6,Low,0.71
4146,Synthetic Ward 3948,7370,499.15,4,Middle,0.67
4147,Synthetic Ward 3949,2965,221.58,6,Low,0.95
4148,Synthetic Ward 3950,6521,365.5,6,Low,0.55
4149,Synthetic Ward 3951,1495,107.54,4,Low,0.56
4150,Synthetic Ward 3952,6859,400.81,3,Low,0.65
4151,Synthetic Ward 3953,465,475.59,5,Middle,0.98
4152,Synthetic Ward 3954,5994,231.35,2,Low,0.82
4153,Synthetic Ward 3955,1260,460.24,5,High,0.78
4154,Synthetic Ward 3956,7425,105.41,2,Middle,0.85
4155,Synthetic Ward 3957,1319,137.74,2,Low,0.71
4156,Synthetic Ward 3958,6303,239.27,6,Middle,0.88
4157,Synthetic Ward 3959,8654,393.03,2,High,0.7
4158,Synthetic Ward 3960,2719,101.8,2,Low,0.91
4159,Synthetic Ward 3961,1768,243.61,4,High,0.63
4160,Synthetic Ward 3962,8906,327.62,5,Low,0.64
4161,Synthetic Ward 3963,3682,433.59,4,High,0.76
4162,Synthetic Ward 3964,5038,339.06,2,Low,0.72
4163,Synthetic Ward 3965,8638,106.22,6,Middle,0.82
4164,Synthetic Ward 3966,1607,42.68,4,Low,0.68
4165,Synthetic Ward 3967,7452,137.94,4,Middle,0.62
4166,Synthetic Ward 3968,1740,83.58,3,Low,0.73
4167,Synthetic Ward 3969,7920,22.0,2,Low,0.78
4168,Synthetic Ward 3970,285,13.09,6,High,0.57
4169,Synthetic Ward 3971,632,297.77,4,High,0.78
4170,Synthetic Ward 3972,4387,209.43,4,High,0.66
4171,Synthetic Ward 3973,5551,108.2,6,Low,0.7
4172,Synthetic Ward 3974,4677,287.01,2,Low,0.64
4173,Synthetic Ward 3975,9073,14.57,3,Low,0.97
4174,Synthetic Ward 3976,6706,395.13,4,Middle,0.84
4175,Synthetic Ward 3977,3700,281.25,3,Middle,0.63
4176,Synthetic Ward 3978,6807,45.05,5,Low,0.82
4177,Synthetic Ward 3979,3864,258.38,2,High,0.92
4178,Synthetic Ward 3980,9619,431.66,5,High,0.7
4179,Synthetic Ward 3981,6137,428.77,5,High,0.91
4180,Synthetic Ward 3982,199,307.02,5,Low,0.58
4181,Synthetic Ward 3983,193,45.63,2,High,0.91
4182,Synthetic Ward 3984,7753,156.7,2,Low,0.77
4183,Synthetic Ward 3985,2529,276.52,6,Middle,0.61
4184,Synthetic Ward 3986,9829,469.09,3,High,0.7
4185,Synthetic Ward 3987,6669,194.46,3,Middle,0.99
4186,Synthetic Ward 3988,7511,459.57,6,High,0.89
4187,Synthetic Ward 3989,4699,493.99,6,Low,0.79
4188,Synthetic Ward 3990,6737,31.98,5,Low,0.56
4189,Synthetic Ward 3991,4829,121.24,6,Low,0.71
4190,Synthetic Ward 3992,8665,213.1,4,Low,0.63
4191,Synthetic Ward 3993,4695,423.17,3,High,0.54
4192,Synthetic Ward 3994,8427,75.46,6,Middle,0.77
4193,Synthetic Ward 3995,4190,443.12,4,Low,0.94
4194,Synthetic Ward 3996,4814,182.93,4,High,0.84
4195,Synthetic Ward 3997,976,497.73,4,Middle,0.62
4196,Synthetic Ward 3998,1867,321.47,4,Low,0.79
4197,Synthetic Ward 3999,3912,235.01,5,Middle,0.97
4198,Synthetic Ward 4000,5866,370.85,4,Low,0.86
4199,Synthetic Ward 4001,2734,316.25,5,Middle,0.84
4200,Synthetic Ward 4002,555,11.14,5,Middle,0.98
4201,Synthetic Ward 4003,3089,257.27,4,Low,0.9
4202,Synthetic Ward 4004,8811,341.49,3,High,0.57
4203,Synthetic Ward 4005,3722,277.51,4,Middle,0.67
4204,Synthetic Ward 4006,8653,212.42,4,Low,0.98
4205,Synthetic Ward 4007,6350,193.56,4,Middle,0.74
4206,Synthetic Ward 4008,9232,253.81,3,Middle,0.56
4207,Synthetic Ward 4009,7453,245.4,2,High,0.73
4208,Synthetic Ward 4010,9953,250.97,2,Middle,0.85
4209,Synthetic Ward 4011,5556,343.74,5,Middle,1.0
4210,Synthetic Ward 4012,3992,195.42,5,Low,0.66
4211,Synthetic Ward 4013,2628,170.77,3,Low,0.76
4212,Synthetic Ward 4014,4543,231.26,6,High,0.94
4213,Synthetic Ward 4015,7033,387.07,2,Middle,0.68
4214,Synthetic Ward 4016,7682,295.02,5,Middle,0.55
4215,Synthetic Ward 4017,5002,145.78,2,Middle,0.97
4216,Synthetic Ward 4018,4513,300.16,3,High,0.74
4217,Synthetic Ward 4019,8653,387.77,3,Middle,0.75
4218,Synthetic Ward 4020,5963,19.76,6,Low,0.81
4219,Synthetic Ward 4021,6363,217.67,6,High,0.5
4220,Synthetic Ward 4022,7373,95.41,3,Low,0.97
4221,Synthetic Ward 4023,1179,31.26,5,Low,0.68
4222,Synthetic Ward 4024,8528,10.51,2,High,0.7
4223,Synthetic Ward 4025,4821,161.4,4,Low,0.59
4224,Synthetic Ward 4026,725,84.71,6,Middle,0.69
4225,Synthetic Ward 4027,2449,43.01,4,High,0.9
4226,Synthetic Ward 4028,8071,306.69,5,Low,0.9
4227,Synthetic Ward 4029,7871,429.6,6,Middle,0.97
4228,Synthetic Ward 4030,7791,385.94,4,Middle,0.7
4229,Synthetic Ward 4031,6000,347.27,5,Low,0.85
4230,Synthetic Ward 4032,2394,347.85,2,Middle,0.75
4231,Synthetic Ward 4033,1139,355.87,5,High,0.9
4232,Synthetic Ward 4034,3752,243.9,6,Low,0.86
4233,Synthetic Ward 4035,7832,365.51,3,Middle,0.68
4234,Synthetic Ward 4036,3259,294.16,2,Middle,0.67
4235,Synthetic Ward 4037,2488,398.36,4,Low,0.63
4236,Synthetic Ward 4038,1911,113.19,6,Low,0.79
4237,Synthetic Ward 4039,9579,40.07,3,Low,0.98
4238,Synthetic Ward 4040,3975,109.03,5,Low,0.6
4239,Synthetic Ward 4041,9570,245.38,3,High,0.55
4240,Synthetic Ward 4042,9458,140.39,6,Low,0.56
4241,Synthetic Ward 4043,2504,347.36,6,High,0.89
4242,Synthetic Ward 4044,9288,464.97,3,High,0.68
4243,Synthetic Ward 4045,8558,451.77,5,Low,0.61
4244,Synthetic Ward 4046,674,277.37,3,High,0.68
4245,Synthetic Ward 4047,4679,427.13,6,Low,0.82
4246,Synthetic Ward 4048,5089,120.41,6,Low,0.77
4247,Synthetic Ward 4049,9970,231.5,4,Middle,0.87
4248,Synthetic Ward 4050,4235,70.77,4,Low,0.67
4249,Synthetic Ward 4051,5745,147.62,2,Middle,0.73
4250,Synthetic Ward 4052,4945,39.2,6,High,0.55
4251,Synthetic Ward 4053,8793,453.11,4,Middle,0.54
4252,Synthetic Ward 4054,5250,317.43,3,High,0.73
4253,Synthetic Ward 4055,9959,276.5,5,Low,0.65
4254,Synthetic Ward 4056,6181,459.15,3,High,0.81
4255,Synthetic Ward 4057,7988,84.33,5,High,0.52
4256,Synthetic Ward 4058,2302,33.17,4,Low,0.56
4257,Synthetic Ward 4059,9690,63.49,2,High,0.93
4258,Synthetic Ward 4060,2373,101.73,3,Low,0.78
4259,Synthetic Ward 4061,8855,380.88,3,Middle,0.86
4260,Synthetic Ward 4062,1538,112.45,3,Low,0.92
4261,Synthetic Ward 4063,3205,102.01,5,Low,0.73
4262,Synthetic Ward 4064,1038,305.38,4,High,0.88
4263,Synthetic Ward 4065,987,378.34,3,Middle,0.76
4264,Synthetic Ward 4066,1794,146.23,3,Low,0.61
4265,Synthetic Ward 4067,2473,491.36,2,Middle,0.67
4266,Synthetic Ward 4068,9771,467.97,2,Middle,0.75
4267,Synthetic Ward 4069,2600,273.76,4,High,0.66
4268,Synthetic Ward 4070,9684,40.31,4,Low,0.67
4269,Synthetic Ward 4071,5052,18.65,6,High,0.67
4270,Synthetic Ward 4072,9755,478.56,2,Low,0.56
4271,Synthetic Ward 4073,1123,132.19,6,Middle,0.54
4272,Synthetic Ward 4074,9393,238.82,5,Low,0.52
4273,Synthetic Ward 4075,5977,68.84,6,Low,0.56
4274,Synthetic Ward 4076,3934,76.19,3,Middle,0.67
4275,Synthetic Ward 4077,7908,59.39,6,Middle,0.8
4276,Synthetic Ward 4078,5266,291.87,4,Low,0.59
4277,Synthetic Ward 4079,7020,91.33,5,High,0.94
4278,Synthetic Ward 4080,7632,206.17,3,Low,0.9
4279,Synthetic Ward 4081,5432,289.5,6,Middle,0.76
4280,Synthetic Ward 4082,9667,383.13,5,High,0.86
4281,Synthetic Ward 4083,8333,489.99,5,Middle,0.68
4282,Synthetic Ward 4084,7810,365.5,3,Middle,0.52
4283,Synthetic Ward 4085,5080,423.79,6,High,0.95
4284,Synthetic Ward 4086,6877,340.3,5,Middle,0.56
4285,Synthetic Ward 4087,4638,38.23,5,Middle,0.97
4286,Synthetic Ward 4088,3370,241.99,2,Middle,0.79
4287,Synthetic Ward 4089,4288,156.02,5,Middle,0.65
4288,Synthetic Ward 4090,7852,22.44,2,Middle,0.75
4289,Synthetic Ward 4091,9985,368.84,6,Middle,0.75
4290,Synthetic Ward 4092,5669,300.28,6,Middle,0.51
4291,Synthetic Ward 4093,7489,275.99,6,Middle,0.68
4292,Synthetic Ward 4094,7705,74.05,4,Middle,0.87
4293,Synthetic Ward 4095,3280,141.98,6,Low,0.76
4294,Synthetic Ward 4096,2980,62.17,5,Low,0.62
4295,Synthetic Ward 4097,4171,472.64,3,Middle,0.67
4296,Synthetic Ward 4098,5888,471.03,2,Low,0.93
4297,Synthetic Ward 4099,2845,486.74,4,High,0.76
4298,Synthetic Ward 4100,2455,278.97,6,Low,0.76
4299,Synthetic Ward 4101,6129,221.68,6,Middle,0.98
4300,Synthetic Ward 4102,8078,448.56,3,Middle,0.66
4301,Synthetic Ward 4103,8955,207.92,3,Low,0.74
4302,Synthetic Ward 4104,8650,389.48,4,Middle,0.91
4303,Synthetic Ward 4105,4103,476.94,2,High,0.88
4304,Synthetic Ward 4106,1117,39.03,6,High,0.63
4305,Synthetic Ward 4107,9669,82.48,4,Middle,0.58
4306,Synthetic Ward 4108,8806,443.14,5,High,0.85
4307,Synthetic Ward 4109,1650,348.01,5,High,0.63
4308,Synthetic Ward 4110,9992,20.76,4,Low,0.96
4309,Synthetic Ward 4111,2556,288.49,6,High,0.56
4310,Synthetic Ward 4112,2289,146.81,4,Low,0.66
4311,Synthetic Ward 4113,5905,239.19,6,Middle,0.53
4312,Synthetic Ward 4114,3141,466.05,3,Low,0.85
4313,Synthetic Ward 4115,4398,60.0,4,Middle,0.95
4314,Synthetic Ward 4116,9037,81.31,6,Middle,0.82
4315,Synthetic Ward 4117,308,445.28,4,Middle,0.97
4316,Synthetic Ward 4118,9675,329.27,4,Middle,0.56
4317,Synthetic Ward 4119,247,426.69,6,Middle,0.54
4318,Synthetic Ward 4120,8538,187.97,6,Low,0.92
4319,Synthetic Ward 4121,2455,348.52,2,Middle,0.93
4320,Synthetic Ward 4122,6620,298.37,4,High,0.92
4321,Synthetic Ward 4123,7797,452.41,5,High,0.9
4322,Synthetic Ward 4124,9079,100.23,4,Middle,0.68
4323,Synthetic Ward 4125,5522,119.15,4,High,0.61
4324,Synthetic Ward 4126,9286,257.44,6,Low,0.96
4325,Synthetic Ward 4127,2864,238.47,4,Low,0.65
4326,Synthetic Ward 4128,4855,366.1,4,Middle,0.7
4327,Synthetic Ward 4129,5252,296.76,5,Middle,0.85
4328,Synthetic Ward 4130,6167,18.92,6,Middle,0.65
4329,Synthetic Ward 4131,4180,194.83,4,High,0.91
4330,Synthetic Ward 4132,7071,232.87,3,High,0.54
4331,Synthetic Ward 4133,1364,157.76,2,Low,0.9
4332,Synthetic Ward 4134,2620,129.32,5,High,0.8
4333,Synthetic Ward 4135,6791,440.87,4,Low,0.79
4334,Synthetic Ward 4136,5512,165.41,3,High,0.73
4335,Synthetic Ward 4137,4025,144.73,4,Low,0.64
4336,Synthetic Ward 4138,4772,391.12,4,Middle,0.73
4337,Synthetic Ward 4139,933,285.51,6,High,0.73
4338,Synthetic Ward 4140,5177,260.18,6,Low,0.79
4339,Synthetic Ward 4141,8038,347.97,6,High,0.64
4340,Synthetic Ward 4142,9323,435.91,3,Middle,0.54
4341,Synthetic Ward 4143,682,73.73,4,Low,0.57
4342,Synthetic Ward 4144,690,219.63,2,High,0.85
4343,Synthetic Ward 4145,9761,299.74,5,High,0.51
4344,Synthetic Ward 4146,6255,192.09,6,Middle,0.93
4345,Synthetic Ward 4147,682,80.07,6,Middle,0.85
4346,Synthetic Ward 4148,2963,341.98,4,Low,0.88
4347,Synthetic Ward 4149,2874,415.77,4,High,0.92
4348,Synthetic Ward 4150,9156,307.11,3,High,0.56
4349,Synthetic Ward 4151,6381,195.48,3,Middle,0.91
4350,Synthetic Ward 4152,7283,228.81,6,Middle,0.75
